categoria,numero_registros
VIVIENDAS TURÍSTICAS,100299
ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,31064
AGENCIA DE VIAJES,14823
OTROS TIPOS DE HOSPEDAJE TURÍSTICOS NO PERMANENTES,12117
AGENCIAS DE VIAJES,11928
GUIA DE TURISMO,3093
GUIAS DE TURISMO,2377
ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,2091
OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES,1598
OFICINAS DE REPRESENTACION TURÍSTICA,1413
ESTABLECIMIENTOS DE GASTRONOMÍA,1218
EMPRESA DE TRANSPORTE TERRESTRE AUTOMOTOR,1174
ARRENDADORES DE VEHÍCULOS PARA TURISMO NACIONAL E INTERNACIONAL,942
EMPRESAS DE TRANSPORTE TERRESTRE AUTOMOTOR,586
"OPERADORES PROFESIONALES DE CONGRESOS, FERIAS Y CONVENCIONES",416
PARQUES TEMÁTICOS,406
OPERADORES DE PLATAFORMAS ELECTRÓNICAS O DIGITALES DE SERVICIOS TURÍSTICOS,275
BARES,239
ESTABLECIMIENTO DE GASTRONOMÍA,105
EMPRESA DE TIEMPO COMPARTIDO Y MULTIPROPIEDAD,85
CONCESIONARIOS DE SERVICIOS TURÍSTICOS EN PARQUE,79
EMPRESAS CAPTADORAS DE AHORRO PARA VIAJES,57
ORGANIZADORES DE BODA DESTINO,42
EMPRESAS DE TIEMPO COMPARTIDO Y MULTIPROPIEDAD,27
USUARIOS INDUSTRIALES OPERADORES O DESARROLLADORES DE SERVICIOS TURISTICOS DE LAS ZONAS FRANCAS,14
COMPAÑÍA DE INTERCAMBIO VACACIONAL,13
ESTABLECIMIENTOS DE GASTRONOMÍA Y SIMILARES,11
COMPAÑÍAS DE INTERCAMBIO VACACIONAL,9
USUARIOS INDUSTRIALES DE SERVICIOS TURÍSTICOS EN ZONAS FRANCAS,6
